Street,Event,Event Date/Time,Event Nature,P
1015 N MANOR DR,Arrest,7/1/12 12:50,LARCENY,0.8
1015 N MANOR DR,Call,6/7/14 3:46,DOMESTIC DISTURBANCE IP,0.8
1015 N MANOR DR,Call,6/7/14 12:04,DOMESTIC DISTURBANCE,0.8
1015 N MANOR DR,Call,4/11/14 10:30,DOMESTIC DISTURBANCE IP,0.8
1015 N MANOR DR,Call,4/10/14 6:34,DOMESTIC DISTURBANCE,0.8
1015 N MANOR DR,Call,4/7/11 4:53,DOMESTIC DISTURBANCE,0.8
1015 N MANOR DR,Report,6/7/14 3:46,DOMESTIC DISTUR,0.8
1015 N ROTARY DR,Call,10/23/13 12:07,DOMESTIC DISTURBANCE IP,0.8
1015 TRUE LN,Call,7/5/13 12:50,DOMESTIC DISTURBANCE IP,0.8
1015-A RICHLAND ST,Call,8/21/12 10:25,DOMESTIC DISTURBANCE IP,0.8
1015-A RICHLAND ST,Call,6/23/12 12:38,DOMESTIC DISTURBANCE IP,0.8
1015-A RICHLAND ST,Call,5/9/12 12:05,DOMESTIC DISTURBANCE,0.8
1015-A RICHLAND ST,Call,10/13/11 1:14,DOMESTIC DISTURBANCE IP,0.8
1015-A RICHLAND ST,Call,10/6/11 11:28,DOMESTIC DISTURBANCE IP,0.8
1015-A RICHLAND ST,Call,6/20/11 1:23,DOMESTIC DISTURBANCE,0.8
1015-B RICHLAND ST,Call,5/26/14 7:00,DOMESTIC DISTURBANCE,0.8
1015-B RICHLAND ST,Call,6/29/12 10:09,DOMESTIC DISTURBANCE IP,0.8
1015-B RICHLAND ST,Call,6/6/12 10:02,DOMESTIC DISTURBANCE,0.8
1015-B RICHLAND ST,Call,5/1/12 9:47,DOMESTIC DISTURBANCE,0.8
1016 ASHEBORO ST,Call,1/23/12 7:42,DOMESTIC DISTURBANCE,0.8
1016 ASHEBORO ST,Call,1/22/12 2:42,DOMESTIC DISTURBANCE,0.8
1016 ASHEBORO ST,Call,12/2/11 9:18,DOMESTIC DISTURBANCE IP,0.8
1016 ASHEBORO ST,Call,4/13/11 1:01,DOMESTIC DISTURBANCE,0.8
1016 ASHEBORO ST,Report,12/2/11 21:10,DOMESTIC DISTUR,0.8
1016 GRACE ST,Call,11/4/14 1:15,DOMESTIC DISTURBANCE,0.8
1016 GRACE ST,Call,8/3/13 2:32,DOMESTIC DISTURBANCE,0.8
1016 GRACE ST,Call,11/30/12 7:40,DOMESTIC DISTURBANCE,0.8
1016 GRACE ST,Call,12/12/11 1:28,DOMESTIC DISTURBANCE,0.8
1016 GRACE ST,Call,10/16/11 11:12,DOMESTIC DISTURBANCE IP,0.8
1016 GRACE ST,Call,9/19/11 1:46,DOMESTIC DISTURBANCE IP,0.8
1016 GRACE ST,Call,7/29/11 9:09,DOMESTIC DISTURBANCE,0.8
1016 GRACE ST,Call,7/11/11 10:55,DOMESTIC DISTURBANCE,0.8
1016 GRANT ST,Call,7/27/12 8:13,DOMESTIC DISTURBANCE IP,0.8
1016 OLD CREEK CROSSING LN,Call,5/2/11 1:11,DOMESTIC DISTURBANCE,0.8
1016 SALEM ST,Call,7/13/14 6:55,DOMESTIC DISTURBANCE,0.8
1016 SALES ST,Call,12/18/11 1:26,DOMESTIC DISTURBANCE,0.8
1017 BARBEE AV,Call,11/23/11 10:11,DOMESTIC DISTURBANCE IP,0.8
1017 CANTERING RD,Call,10/17/14 8:25,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Arrest,10/29/11 9:50,AFFRAY OR SIMPLE ASSAULT,0.8
1017 E KEARNS AV,Call,10/3/14 7:40,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,9/4/14 12:56,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,7/15/14 7:06,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,11/26/13 3:00,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,9/3/13 11:54,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Call,8/24/13 8:05,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Call,8/3/13 8:19,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,6/3/13 8:12,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,10/28/12 1:23,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,7/3/12 9:49,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,2/12/12 5:02,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,10/29/11 9:19,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,9/7/11 8:07,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Call,9/7/11 5:34,DOMESTIC DISTURBANCE IP,0.8
1017 E KEARNS AV,Call,9/3/11 4:46,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Call,7/21/11 10:16,DOMESTIC DISTURBANCE,0.8
1017 E KEARNS AV,Report,10/29/11 9:15,DOMESTIC DISTUR,0.8
1017 MONTLIEU AV,Call,6/23/11 12:13,DOMESTIC DISTURBANCE,0.8
1017 N MANOR DR,Call,8/21/14 8:37,DOMESTIC DISTURBANCE,0.8
1017 TABOR ST,Call,3/27/14 9:23,DOMESTIC DISTURBANCE IP,0.8
1017-A RICHLAND ST,Call,9/23/12 3:19,DOMESTIC DISTURBANCE IP,0.8
1017-A RICHLAND ST,Report,9/23/12 3:15,DOMESTIC DISTUR,0.8
1018 ASHEBORO ST,Call,8/14/14 11:54,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,8/14/14 11:03,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,8/4/14 9:02,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,7/26/13 6:46,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,7/25/13 11:54,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,7/25/13 11:31,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,6/15/13 6:37,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,6/15/13 9:45,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,2/28/13 10:12,DOMESTIC DISTURBANCE IP,0.8
1018 ASHEBORO ST,Call,10/27/11 1:35,DOMESTIC DISTURBANCE,0.8
1018 CHARING CROSS LN,Call,1/4/12 5:01,DOMESTIC DISTURBANCE,0.8
1018 CHARING CROSS LN,Call,8/22/11 9:04,DOMESTIC DISTURBANCE,0.8
1018 GRACE ST,Call,10/7/12 8:57,DOMESTIC DISTURBANCE IP,0.8
1018 GRACE ST,Report,10/7/12 20:56,DOMESTIC DISTUR,0.8
1018 HICKORY CHAPEL RD,Call,12/26/12 12:45,DOMESTIC DISTURBANCE IP,0.8
1018 HICKORY CHAPEL RD,Call,12/26/12 12:13,DOMESTIC DISTURBANCE IP,0.8
1018 HICKORY CHAPEL RD,Call,12/25/12 11:53,DOMESTIC DISTURBANCE IP,0.8
1018 HICKORY CHAPEL RD,Call,5/26/12 2:21,DOMESTIC DISTURBANCE IP,0.8
1018 HICKORY CHAPEL RD,Call,10/1/11 7:01,DOMESTIC DISTURBANCE IP,0.8
1018-A GRACE ST,Call,6/17/14 3:18,DOMESTIC DISTURBANCE,0.8
1018-A GRACE ST,Call,6/17/14 2:19,DOMESTIC DISTURBANCE IP,0.8
1019 N MANOR DR,Call,8/4/14 9:45,DOMESTIC DISTURBANCE,0.8
1019 N MANOR DR,Call,5/25/12 9:27,DOMESTIC DISTURBANCE IP,0.8
1019-A RICHLAND ST,Call,11/27/11 1:39,DOMESTIC DISTURBANCE IP,0.8
1019-A RICHLAND ST,Call,10/9/11 4:00,DOMESTIC DISTURBANCE IP,0.8
102 CHESTNUT DR,Call,5/21/11 1:34,DOMESTIC DISTURBANCE,0.8
102 LAWNDALE AV,Call,8/30/13 9:35,DOMESTIC DISTURBANCE,0.8
102 WOODVALLEY CT,Call,5/14/11 12:33,DOMESTIC DISTURBANCE IP,0.8
102-B WOODBEND CT,Call,4/26/11 10:56,DOMESTIC DISTURBANCE,0.8
102-B WOODBEND CT,Call,4/23/11 10:40,DOMESTIC DISTURBANCE,0.8
102-B WOODVALLEY CT,Call,10/11/11 8:15,DOMESTIC DISTURBANCE IP,0.8
102-B WOODVALLEY CT,Report,10/11/11 7:45,DOMESTIC DISTUR,0.8
102-B WOODVALLEY CT,Report,6/19/14 3:15,DOMESTIC DISTUR,0.8
102-B WOODVALLEY CT,Report,5/18/12 21:45,DOMESTIC DISTUR,0.8
102-E WOODBEND CT,Call,1/28/13 7:07,DOMESTIC DISTURBANCE IP,0.8
102-E WOODBEND CT,Call,1/19/13 1:52,DOMESTIC DISTURBANCE IP,0.8
102-E WOODVALLEY CT,Call,5/18/12 9:47,DOMESTIC DISTURBANCE IP,0.8
102-E WOODVALLEY CT,Call,1/23/12 12:29,DOMESTIC DISTURBANCE IP,0.8
102-E WOODVALLEY CT,Call,5/14/11 11:21,DOMESTIC DISTURBANCE,0.8
102-E WOODVALLEY CT,Report,10/11/11 7:45,DOMESTIC DISTUR,0.8
102-E WOODVALLEY CT,Report,6/19/14 3:15,DOMESTIC DISTUR,0.8
102-E WOODVALLEY CT,Report,5/18/12 21:45,DOMESTIC DISTUR,0.8
102-F WOODVALLEY CT,Arrest,6/19/14 3:56,AFFRAY OR SIMPLE ASSAULT,0.8
102-F WOODVALLEY CT,Arrest,6/19/14 3:56,POSSESSION OF DRUG PARAPHERNALIA,0.8
102-F WOODVALLEY CT,Call,6/19/14 3:33,DOMESTIC DISTURBANCE IP,0.8
102-F WOODVALLEY CT,Call,9/17/11 8:19,DOMESTIC DISTURBANCE IP,0.8
102-F WOODVALLEY CT,Report,10/11/11 7:45,DOMESTIC DISTUR,0.8
102-F WOODVALLEY CT,Report,6/19/14 3:15,DOMESTIC DISTUR,0.8
102-F WOODVALLEY CT,Report,5/18/12 21:45,DOMESTIC DISTUR,0.8
1020 NATHAN HUNT DR,Call,12/27/11 1:11,DOMESTIC DISTURBANCE IP,0.8
1020 NATHAN HUNT DR,Call,6/13/11 9:36,DOMESTIC DISTURBANCE,0.8
1020 NATHAN HUNT DR,Call,4/27/11 6:17,DOMESTIC DISTURBANCE,0.8
1020 S MAIN ST,Call,6/18/14 7:07,DOMESTIC DISTURBANCE IP,0.8
1020 SOUTH RD,Call,4/17/11 10:55,DOMESTIC DISTURBANCE,0.8
1020 TABOR ST,Call,9/6/11 10:46,DOMESTIC DISTURBANCE,0.8
1020 TABOR ST,Call,6/7/11 6:49,DOMESTIC DISTURBANCE,0.8
1020 TABOR ST,Call,5/2/11 5:11,DOMESTIC DISTURBANCE,0.8
1020-A ASHEBORO ST,Call,10/7/11 10:55,DOMESTIC DISTURBANCE,0.8
1020-B ASHEBORO ST,Arrest,11/3/12 23:20,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
1020-B ASHEBORO ST,Arrest,1/3/14 10:15,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1020-B ASHEBORO ST,Arrest,9/21/13 16:32,FAILURE TO APPEAR,0.8
1020-B ASHEBORO ST,Arrest,10/16/13 23:22,PROBATION VIOLATION,0.8
1020-B ASHEBORO ST,Arrest,1/3/14 10:15,FAILURE TO APPEAR,0.8
1020-B ASHEBORO ST,Call,11/3/12 11:13,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Arrest,8/27/11 14:15,AFFRAY OR SIMPLE ASSAULT,0.8
1021 MONTLIEU AV,Arrest,7/29/12 2:02,ASSAULT & BATTERY,0.8
1021 MONTLIEU AV,Arrest,8/29/13 3:10,ASSAULT & BATTERY,0.8
1021 MONTLIEU AV,Call,8/29/13 1:45,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,8/29/13 12:21,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,2/1/13 12:22,DOMESTIC DISTURBANCE,0.8
1021 MONTLIEU AV,Call,7/29/12 1:10,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,7/15/12 5:42,DOMESTIC DISTURBANCE,0.8
1021 MONTLIEU AV,Call,3/23/12 5:14,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,1/19/12 3:46,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,12/17/11 12:22,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Call,8/27/11 2:16,DOMESTIC DISTURBANCE IP,0.8
1021 MONTLIEU AV,Report,7/29/12 1:10,,0.8
1021 MONTLIEU AV,Report,8/27/11 14:05,DOMESTIC DISTUR,0.8
1021 MONTLIEU AV,Report,8/29/13 0:15,DOMESTIC DISTUR,0.8
1021 N MANOR DR,Arrest,12/23/13 16:30,NO PROBABLE CAUSE,0.8
1021 N MANOR DR,Arrest,5/6/12 20:00,DISORDERLY CONDUCT (NON-SPECIFIC) DISTURBING THE PEACE,0.8
1021 N MANOR DR,Arrest,9/7/13 10:29,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
1021 N MANOR DR,Arrest,9/7/13 10:29,ASSAULT BY POINTING A GUN,0.8
1021 N MANOR DR,Arrest,9/7/13 10:29,FAILURE TO APPEAR,0.8
1021 N MANOR DR,Arrest,8/30/12 23:40,FAILURE TO APPEAR,0.8
1021 N MANOR DR,Arrest,9/7/13 10:29,ASSAULT ON FEMALE,0.8
1021 N MANOR DR,Arrest,9/7/13 10:29,ASSAULT INFLICTING SERIOUS INJURY OR AWDW,0.8
1021 N MANOR DR,Arrest,12/23/13 16:30,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1021 N MANOR DR,Arrest,7/13/12 21:30,POSSESS CONTROL SUBSTANCE SCHEDULE VI,0.8
1021 N MANOR DR,Arrest,5/7/11 4:08,FAILURE TO APPEAR,0.8
1021 N MANOR DR,Arrest,5/6/12 20:00,AFFRAY OR SIMPLE ASSAULT,0.8
1021 N MANOR DR,Call,10/29/14 5:28,DOMESTIC DISTURBANCE IP,0.8
1021 N MANOR DR,Call,4/23/14 12:05,DOMESTIC DISTURBANCE IP,0.8
1021 N MANOR DR,Call,1/17/14 12:43,DOMESTIC DISTURBANCE IP,0.8
1021 N MANOR DR,Call,12/23/13 4:00,DOMESTIC DISTURBANCE IP,0.8
1021 N MANOR DR,Call,9/20/13 6:38,DOMESTIC DISTURBANCE,0.8
1021 N MANOR DR,Call,9/18/13 7:04,DOMESTIC DISTURBANCE,0.8
1021 N MANOR DR,Call,7/21/13 10:27,DOMESTIC DISTURBANCE,0.8
1021 N MANOR DR,Call,7/20/13 11:30,DOMESTIC DISTURBANCE,0.8
1021 N MANOR DR,Call,7/13/13 10:58,DOMESTIC DISTURBANCE,0.8
1021 N MANOR DR,Call,7/3/13 11:35,DOMESTIC DISTURBANCE IP,0.8
1021 N MANOR DR,Report,12/23/13 16:00,UNKNOWN TROUBLE,0.8
1021 NATHAN HUNT DR,Arrest,11/22/12 11:00,ASSAULT ON FEMALE,0.8
1021 NATHAN HUNT DR,Arrest,11/22/12 11:00,AFFRAY OR SIMPLE ASSAULT,0.8
1021 NATHAN HUNT DR,Call,11/22/12 10:56,DOMESTIC DISTURBANCE IP,0.8
1021 NATHAN HUNT DR,Report,11/22/12 10:56,DOMESTIC DISTUR,0.8
1021 RICHLAND ST,Call,4/10/13 2:12,DOMESTIC DISTURBANCE,0.8
1021 RICHLAND ST,Call,3/12/12 12:08,DOMESTIC DISTURBANCE IP,0.8
1021 RICHLAND ST,Report,3/12/12 12:05,ARMED SUBJECT,0.8
1021-B REDDING DR,Call,5/28/12 9:39,DOMESTIC DISTURBANCE,0.8
1022 GRACE ST,Call,4/21/12 1:16,DOMESTIC DISTURBANCE,0.8
1022 GRACE ST,Call,3/25/12 8:34,DOMESTIC DISTURBANCE,0.8
1022 GRACE ST,Call,3/12/12 1:21,DOMESTIC DISTURBANCE IP,0.8
1022 RICHLAND ST,Call,5/13/11 10:07,DOMESTIC DISTURBANCE,0.8
1022 TABOR ST,Call,11/7/11 8:01,DOMESTIC DISTURBANCE,0.8
1022 TABOR ST,Call,5/29/11 3:02,DOMESTIC DISTURBANCE,0.8
1022 TABOR ST,Call,5/29/11 1:30,DOMESTIC DISTURBANCE,0.8
1022 TABOR ST,Report,5/29/11 3:00,DOMESTIC DISTUR,0.8
1023 ASHEBORO ST,Arrest,4/13/14 4:18,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1023 ASHEBORO ST,Arrest,1/12/14 7:24,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1023 ASHEBORO ST,Arrest,1/12/13 17:44,SALE OR GIVE ALCOHOL BEVERAGES TO ANY ONE UNDER 21 YEARS,0.8
1023 ASHEBORO ST,Arrest,7/18/12 0:41,AID & ABET / IMPAIRED DRIVING,0.8
1023 ASHEBORO ST,Call,4/13/14 4:18,DOMESTIC DISTURBANCE IP,0.8
1023 ASHEBORO ST,Call,1/12/14 5:37,DOMESTIC DISTURBANCE IP,0.8
1023 ASHEBORO ST,Call,8/2/13 11:41,DOMESTIC DISTURBANCE IP,0.8
1023 ASHEBORO ST,Call,5/28/13 2:46,DOMESTIC DISTURBANCE IP,0.8
1023 ASHEBORO ST,Call,5/9/13 11:25,DOMESTIC DISTURBANCE IP,0.8
1023 ASHEBORO ST,Report,1/12/14 5:32,DOMESTIC DISTUR,0.8
1023 ASHEBORO ST,Report,4/13/14 4:18,DOMESTIC DISTUR,0.8
1023 MONTLIEU AV,Arrest,10/29/12 15:44,BREAKING AND ENTERING - BUILDING  (MISDEMEANOR),0.8
1023 MONTLIEU AV,Arrest,4/6/11 13:02,"WEAPONS ON CAMPUS-BB GUN,AIR RIFLE,STUN GUN",0.8
1023 MONTLIEU AV,Arrest,4/9/13 7:28,FAILURE TO APPEAR,0.8
1023 MONTLIEU AV,Arrest,10/31/12 17:02,VIO DOM VIOLENCE ACT,0.8
1023 MONTLIEU AV,Arrest,8/21/12 8:08,FAILURE TO APPEAR,0.8
1023 MONTLIEU AV,Arrest,9/16/13 13:30,PROBATION VIOLATION,0.8
1023 MONTLIEU AV,Arrest,4/9/13 14:45,VIOLATION OF RELEASE ORDER IN OFFICERS PRESENCE,0.8
1023 MONTLIEU AV,Arrest,10/31/12 17:02,BREAKING AND ENTERING - BUILDING  (MISDEMEANOR),0.8
1023 MONTLIEU AV,Arrest,10/29/12 15:44,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1023 MONTLIEU AV,Arrest,10/31/12 17:02,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
1023 MONTLIEU AV,Arrest,10/31/12 17:02,ASSAULT ON FEMALE,0.8
1023 MONTLIEU AV,Arrest,4/9/13 7:28,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
1023 MONTLIEU AV,Arrest,9/16/13 13:30,LARCENY (MISDEMEANOR),0.8
1023 MONTLIEU AV,Call,6/16/13 10:20,DOMESTIC DISTURBANCE,0.8
1023 MONTLIEU AV,Call,4/9/13 5:58,DOMESTIC DISTURBANCE IP,0.8
1023 MONTLIEU AV,Call,2/7/13 7:12,DOMESTIC DISTURBANCE IP,0.8
1023 MONTLIEU AV,Report,4/9/13 5:50,DOMESTIC DISTUR,0.8
1024-B GRACE ST,Call,7/30/14 8:47,DOMESTIC DISTURBANCE IP,0.8
1025-A PEGRAM AV,Call,7/4/11 3:21,DOMESTIC DISTURBANCE,0.8
1025-B PEGRAM AV,Call,12/9/12 11:36,DOMESTIC DISTURBANCE IP,0.8
1025-B PEGRAM AV,Call,7/24/12 7:54,DOMESTIC DISTURBANCE IP,0.8
1025-B PEGRAM AV,Call,5/11/12 10:00,DOMESTIC DISTURBANCE IP,0.8
1025-B PEGRAM AV,Call,11/6/11 2:12,DOMESTIC DISTURBANCE IP,0.8
1026-B GRACE ST,Call,7/14/13 7:08,DOMESTIC DISTURBANCE IP,0.8
1027 BARBEE AV,Call,2/3/12 5:30,DOMESTIC DISTURBANCE,0.8
1027 BARBEE AV,Call,1/13/12 7:03,DOMESTIC DISTURBANCE IP,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,ASSAULT BY STRANGULATION INFLICTING SERIOUS INJURY,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,IMPAIRED DRIVING,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,FINANCIAL IDENTITY FRAUD,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,COMMUNICATING THREATS,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,FAILURE TO APPEAR,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
1027 TRUE LN,Arrest,7/26/12 16:36,HABITUAL FELON,0.8
1027 TRUE LN,Arrest,5/5/12 3:50,DRIVE WHILE LICENSE SUSPENDED OR REVOKED,0.8
1027 TRUE LN,Arrest,2/20/12 11:42,IMPAIRED DRIVING,0.8
1027 TRUE LN,Call,5/26/12 12:56,DOMESTIC DISTURBANCE IP,0.8
1027 TRUE LN,Call,5/5/12 2:18,DOMESTIC DISTURBANCE IP,0.8
1027 TRUE LN,Report,5/5/12 2:00,DOMESTIC DISTUR,0.8
1027-B PEGRAM AV,Call,2/2/14 8:40,DOMESTIC DISTURBANCE IP,0.8
1027-B PEGRAM AV,Report,2/2/14 20:40,DOMESTIC DISTUR,0.8
1028-A ASHEBORO ST,Call,3/9/12 1:18,DOMESTIC DISTURBANCE IP,0.8
1028-A ASHEBORO ST,Call,2/7/12 7:24,DOMESTIC DISTURBANCE,0.8
1028-B ASHEBORO ST,Call,6/2/13 6:30,DOMESTIC DISTURBANCE IP,0.8
1029 ASHEBORO ST,Call,6/19/11 2:28,DOMESTIC DISTURBANCE,0.8
1029 ASHEBORO ST,Report,6/19/11 14:28,DOMESTIC DISTUR,0.8
103 CHARLES AV,Call,9/5/11 3:17,DOMESTIC DISTURBANCE,0.8
103 GAYLORD CT,Arrest,11/22/12 1:05,ASSAULT & BATTERY,0.8
103 GAYLORD CT,Arrest,6/3/13 2:36,ASSAULT INFLICTING SERIOUS INJURY OR AWDW,0.8
103 GAYLORD CT,Call,9/28/14 7:40,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,6/4/14 4:06,DOMESTIC DISTURBANCE,0.8
103 GAYLORD CT,Call,11/2/13 8:42,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,7/6/13 8:28,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,4/21/13 12:03,DOMESTIC DISTURBANCE,0.8
103 GAYLORD CT,Call,4/10/13 3:47,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,12/22/12 11:08,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,11/22/12 12:30,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,9/23/12 1:28,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,8/12/12 11:36,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,5/29/12 11:11,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,5/29/12 9:32,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,3/21/12 11:18,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,2/19/12 8:02,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Call,9/10/11 11:42,DOMESTIC DISTURBANCE IP,0.8
103 GAYLORD CT,Report,9/28/14 7:35,DOMESTIC DISTUR,0.8
103 GAYLORD CT,Report,11/22/12 1:05,PUBLIC DISTURBA,0.8
103 MONNELL DR,Call,9/15/14 11:25,DOMESTIC DISTURBANCE,0.8
103 N LINDSAY ST/W KIVETT DR,Arrest,10/19/14 1:30,VIO DOM VIOLENCE ACT,0.8
103 N LINDSAY ST/W KIVETT DR,Arrest,10/19/14 1:30,B&E-VEHICLE - RR CARS OTHER MOTOR VEHICLES,0.8
103 N LINDSAY ST/W KIVETT DR,Arrest,4/5/14 0:15,VIO DOM VIOLENCE ACT,0.8
103 N LINDSAY ST/W KIVETT DR,Call,5/7/14 6:18,DOMESTIC DISTURBANCE,0.8
103 N LINDSAY ST/W KIVETT DR,Call,4/5/14 12:00,DOMESTIC DISTURBANCE,0.8
103 N LINDSAY ST/W KIVETT DR,Call,9/21/12 10:00,DOMESTIC DISTURBANCE,0.8
103 N LINDSAY ST/W KIVETT DR,Report,9/21/12 22:00,DOMESTIC DISTUR,0.8
103 N LINDSAY ST/W KIVETT DR,Report,4/5/14 0:00,DOMESTIC DISTUR,0.8
103 PENNY RD,Call,8/16/12 3:46,DOMESTIC DISTURBANCE,0.8
103 PENNY RD,Call,6/24/11 3:33,DOMESTIC DISTURBANCE,0.8
103 PRINCETON AV,Call,9/28/14 9:04,DOMESTIC DISTURBANCE IP,0.8
103 PRINCETON AV,Call,12/11/13 8:35,DOMESTIC DISTURBANCE,0.8
103 PRINCETON AV,Call,3/8/13 9:14,DOMESTIC DISTURBANCE,0.8
103 PRINCETON AV,Call,3/8/13 9:04,DOMESTIC DISTURBANCE,0.8
103 PRINCETON AV,Call,9/19/12 7:56,DOMESTIC DISTURBANCE,0.8
103 RANKIN PL,Call,7/3/12 8:34,DOMESTIC DISTURBANCE,0.8
103-A OAKWOOD ST,Call,4/5/11 7:46,DOMESTIC DISTURBANCE,0.8
103-A WOODVALLEY CT,Call,12/24/11 6:08,DOMESTIC DISTURBANCE IP,0.8
103-A WOODVALLEY CT,Call,12/22/11 2:49,DOMESTIC DISTURBANCE,0.8
103-C NORTHGATE CT,Call,5/7/13 3:38,DOMESTIC DISTURBANCE,0.8
103-C NORTHGATE CT,Call,2/18/13 3:47,DOMESTIC DISTURBANCE,0.8
103-C NORTHGATE CT,Call,12/7/11 8:02,DOMESTIC DISTURBANCE,0.8
103-C NORTHGATE CT,Report,2/18/13 15:30,DOMESTIC DISTUR,0.8
103-D WOODVALLEY CT,Call,2/11/14 3:21,DOMESTIC DISTURBANCE,0.8
103-D WOODVALLEY CT,Call,12/7/13 1:06,DOMESTIC DISTURBANCE,0.8
103-D WOODVALLEY CT,Call,11/30/13 10:28,DOMESTIC DISTURBANCE,0.8
103-D WOODVALLEY CT,Call,11/1/13 10:24,DOMESTIC DISTURBANCE,0.8
103-D WOODVALLEY CT,Call,7/25/11 10:14,DOMESTIC DISTURBANCE,0.8
103-E WOODBEND CT,Call,6/30/13 7:24,DOMESTIC DISTURBANCE IP,0.8
103-E WOODBEND CT,Report,6/30/13 19:24,DOMESTIC DISTUR,0.8
103-F WOODVALLEY CT,Call,7/8/13 3:05,DOMESTIC DISTURBANCE IP,0.8
103-H WOODVALLEY CT,Call,7/17/11 10:05,DOMESTIC DISTURBANCE,0.8
1030 CLINARD AV,Call,10/2/12 8:32,DOMESTIC DISTURBANCE,0.8
1030 CLINARD AV,Report,10/2/12 20:00,DOMESTIC DISTUR,0.8
1032 CLINARD AV,Call,1/16/13 9:56,DOMESTIC DISTURBANCE IP,0.8
1032 CLINARD AV,Call,9/28/12 12:42,DOMESTIC DISTURBANCE,0.8
1033 FOUST AV,Call,2/14/14 9:13,DOMESTIC DISTURBANCE IP,0.8
1033 PEGRAM AV,Call,8/22/11 5:03,DOMESTIC DISTURBANCE,0.8
